timestamp_ns,op,order,addr,free0,free1,free2,free3,free4,free5,free6,free7,free8,free9,free10,frag_score_pct
1001157412,buddy_alloc,6,0x1000,0,0,0,0,0,0,1,1,1,1,0,10
1001632220,buddy_alloc,5,0x41000,0,0,0,0,0,1,0,1,1,1,0,10
1002738519,buddy_alloc,0,0x61000,1,1,1,1,1,0,0,1,1,1,0,10
1003654177,buddy_free,6,0x1000,1,1,1,1,1,0,1,1,1,1,0,10
1004166278,buddy_alloc,4,0x62000,1,1,1,1,0,0,1,1,1,1,0,10
1005051061,buddy_free,5,0x41000,1,1,1,1,0,1,1,1,1,1,0,10
1006777485,buddy_free,4,0x62000,1,1,1,1,1,1,1,1,1,1,0,10
1008370286,buddy_free,10,0x61000,0,0,0,0,0,0,0,0,0,0,1,0
1010147862,buddy_alloc,1,0x72000,0,1,1,1,1,1,1,1,1,1,0,10
1011991864,buddy_free,10,0x72000,0,0,0,0,0,0,0,0,0,0,1,0
1012165325,buddy_alloc,1,0x74000,0,1,1,1,1,1,1,1,1,1,0,10
1013524876,buddy_alloc,6,0x76000,0,1,1,1,1,1,0,1,1,1,0,10
1014087187,buddy_alloc,1,0xb6000,0,0,1,1,1,1,0,1,1,1,0,10
1015918476,buddy_free,1,0xb6000,0,1,1,1,1,1,0,1,1,1,0,10
1016404762,buddy_alloc,2,0xb8000,0,1,0,1,1,1,0,1,1,1,0,10
1016587510,buddy_free,2,0xb8000,0,1,1,1,1,1,0,1,1,1,0,10
1017453761,buddy_free,6,0x76000,0,1,1,1,1,1,1,1,1,1,0,10
1018137978,buddy_alloc,2,0xbc000,0,1,0,1,1,1,1,1,1,1,0,10
1019554356,buddy_alloc,4,0xc0000,0,1,0,1,0,1,1,1,1,1,0,10
1020865225,buddy_alloc,0,0xd0000,1,0,0,1,0,1,1,1,1,1,0,10
1021530265,buddy_free,2,0xbc000,1,0,1,1,0,1,1,1,1,1,0,10
1022038524,buddy_free,1,0x74000,1,1,1,1,0,1,1,1,1,1,0,10
1022453702,buddy_alloc,6,0xd1000,1,1,1,1,0,1,0,1,1,1,0,10
1023078562,buddy_free,4,0xc0000,1,1,1,1,1,1,0,1,1,1,0,10
1023719917,buddy_alloc,5,0x111000,1,1,1,1,1,0,0,1,1,1,0,10
1024795157,buddy_alloc,0,0x131000,0,1,1,1,1,0,0,1,1,1,0,10
1026119430,buddy_free,5,0x111000,0,1,1,1,1,1,0,1,1,1,0,10
1028024709,buddy_alloc,1,0x132000,0,0,1,1,1,1,0,1,1,1,0,10
1029831732,buddy_free,6,0xd1000,0,0,1,1,1,1,1,1,1,1,0,10
1030405785,buddy_alloc,1,0x134000,0,1,0,1,1,1,1,1,1,1,0,10
1031083026,buddy_free,0,0xd0000,1,1,0,1,1,1,1,1,1,1,0,10
1031357230,buddy_free,2,0x132000,1,0,1,1,1,1,1,1,1,1,0,10
1033297991,buddy_alloc,5,0x136000,1,0,1,1,1,0,1,1,1,1,0,10
1034286710,buddy_alloc,4,0x156000,1,0,1,1,0,0,1,1,1,1,0,10
