timestamp_ns,op,order,addr,free0,free1,free2,free3,free4,free5,free6,free7,free8,free9,free10,frag_score_pct
60671927000,buddy_alloc,0,0xffff000003800000,1,1,1,1,1,1,1,1,1,1,0,10
60673249000,buddy_alloc,2,0xffff000003804000,1,1,0,1,1,1,1,1,1,1,0,20
60673643000,buddy_free,2,0xffff000003800000,0,0,1,1,1,1,1,1,1,1,0,10
60674660000,buddy_free,10,0xffff000003804000,0,0,0,0,0,0,0,0,0,0,1,0
60675782000,buddy_alloc,2,0xffff000003800000,0,0,1,1,1,1,1,1,1,1,0,20
60676110000,slab_alloc,1,0xffff000003800000,0,0,1,1,1,1,1,1,1,1,0,20
60676496000,slab_alloc,1,0xffff000003800040,0,0,1,1,1,1,1,1,1,1,0,20
60676766000,slab_alloc,1,0xffff000003800080,0,0,1,1,1,1,1,1,1,1,0,20
60677302000,slab_free,0,0xffff000003800000,0,0,1,1,1,1,1,1,1,1,0,20
60677695000,slab_free,0,0xffff000003800040,0,0,1,1,1,1,1,1,1,1,0,20
60679194000,slab_free,0,0xffff000003800080,0,0,1,1,1,1,1,1,1,1,0,20
60679767000,buddy_free,10,0xffff000003800000,0,0,0,0,0,0,0,0,0,0,1,0
